question,note,optionD,optionC,optionB,mark,count,optionF,questionid,subject,optionE,year,type,optionA,paperName,answer
安全评价中常用()和参照事故类别的方法进行分类。,,,致事故的间接因素,致事故的直接原因,1,,,2595,,,2017,单选题,系统分析,2017B500,B
坚持科教兴“安”、加快科技创新，是我国安全生产工作的基本方向。必须依靠先进的科学技术来改善煤矿的生产条件，采用(        )叫和新装备保证煤矿的安全生产。,,新工艺,新材料,新技术,0,,,871,,,2012,多选题,新工人,法律法规,BCD
依据《安全生产法》，(        )单位的安全生产管理人员的任免，应当告知主管的负有安全生产监督管理职责的部门。,,建筑施工,金属冶炼,矿山,0,5,,2321,,道路运输,2016,多选题,危险物品的生产储存,2016B500,A，B，C
新建、改建、扩建工程项目的安全设施，未与主体工程同时设计、同时施工、同时投入生产和使用造成事故的，领导者不负领导责任。,,,,,1,1,,989,,,2012,判断题,,安全管理,n
井下配电电压高压不超过（）V。,,,10000,6000,0,,,2701,,,2017,单选题,3300,2017B500,C
沉积煤尘是煤矿发生煤尘爆炸的最大隐患。,,,,,0,,,1199,,,2012,判断题,,一通三防,y
识别卡被金属物包裹容易造成漏卡现象。,,,,,0,,,2517,,,2017,判断题,,2017B500,y
采区回风巷、采掘工作面回风巷风流中甲烷浓度超过()或二氧化碳浓度超过1.5%时，必须停止工作，撤出人员，采取措施，进行处理。,,1.20%,1.00%,0.80%,0,,,2715,,,2017,单选题,0.75%,2017B500,C
《煤矿矿长保护矿工生命安全七条规定》[国家安全生产监督管理总局令第58号]规定：必须保证井下机电和所有提升设备完好，在确保安全的情况下，非阻燃、非防爆设备也可以入井使用。,,,,,0,,,1793,,,2016,判断题,,2016B500,n
《山西省煤矿现代化矿井标准》要求有热害的矿井必须进行井下空气温度预测，采掘工作面空气温度超过(        )必须采取降温措施。,,26°,24°,22°,0,1,,2210,,,2016,单选题,20°,2016B500,D
“依法办矿、依法管矿、依法治理安全”是我国煤矿安全治理的基本思路。,,,,,0,,,1522,,,2012,判断题,,法律法规,y
《山西省人民政府安全生产委员会关于印发进一步加强煤矿瓦斯防治的八项规定的通知》规定：矿井内严禁随意留设盲巷，人为造成盲巷的要予以责任追究。,,,,,0,,,1842,,,2016,判断题,,2016B500,y
煤矿企业应当落实应急管理主体责任，建立健全事故预警、应急值守、信息报告、现场处置、应急投入、救援装备和物资储备、安全避险设施管理和使用等规章制度。,,,,,0,,,2375,,,2017,判断题,,2017B500,y
在立井井筒或倾角30°及其以上的井巷中，电缆应用(        )或其他夹持装置进行敷设。,,吊钩,钢丝,卡箍,0,,,697,,,2012,多选题,夹子,机电运输,AB
《煤矿安全规程》第六十七条规定：综采工作面倾角大于(        )时，综采支架必须有防倒、防滑的安全措施。,,,45°,25°,0,,,110,,,2012,单选题,15°,开采安全,A
煤矿必须编制年度灾害预防和处理计划，并根据具体情况及时修改。灾害预防和处理计划由总工程师负责组织实施。,由矿长负责,,,,0,,,2400,,,2017,判断题,,2017B500,n
相邻矿井的分界处，?应当留防隔水煤(岩)柱；矿井以断层分界的，应当在断层两侧留有防隔水煤(岩)柱。（）?,,,,,0,,,2433,,,2017,判断题,,2017B500,y
安全生产责任制是各岗位工作业绩考核的标准之一。,,,,,0,,,942,,,2012,判断题,,安全管理,y
《煤矿安全规程》第八十五条规定：对冲击地压煤层，巷道支护严禁采用(        )。,,,可缩性支架,刚性支架,0,,,413,,,2012,单选题,柔性支架,开采安全,B
“超层越界开采”，是指有下列(        )情形之一。,,擅自开采保安煤柱,超出采矿许可证载明的坐标控制范围开采,超出采矿许可证规定开采煤层层位进行开采,0,1,,673,,,2012,多选题,工作面煤层回采率超过90％,法律法规,BCD
生产经营单位及其有关人员配合安全生产监督管理部门或者煤矿安全监察机构查处安全生产违法行为有立功表现的，应当依法(        )行政处罚。,,,免除,从轻或者减轻,0,,,329,,,2012,单选题,加重,法律法规,B
锚杆的排列方式通常使用(        ),,三角形,五花形,矩形，,1,1,,638,,,2012,多选题,方形,开采安全,ABC
水仓、沉淀池和水沟中的淤泥，应当及时清理，每年雨季前必须清理2次。（）?,,,,,0,,,2438,,,2017,判断题,,2017B500,n
采掘工作面的进风流中，二氧化碳浓度不超过(        )％。,,,1.5,1,1,1,,37,,,2012,单选题,0.5,一通三防,A
在有瓦斯抽放管路的巷道内，电缆<包括通信、信号电缆>必须与瓦斯抽放管路分挂在巷道两侧。,,,,,0,1,,1417,,,2012,判断题,,机电运输,y
煤矿企业的安全生产管理人员在检查中发现重大事故隐患，并不能处理的，应及时报告本单位有关负责人;有关负责人不及时处理的，安全生产管理人员可以向主管的负有安全生产监督管理职责的部门报告。,,,,,0,,,1770,,,2016,判断题,,2016B500,y
采用机车运输时，列车或单独机车都必须前有照明、后有红灯。,,,,,0,,,1352,,,2012,判断题,,机电运输,y
罐门或罐帘下部边缘至罐底的距离不得超过200mm。,,,,,0,,,1375,,,2012,判断题,,机电运输,n
煤矿的安全生产管理人员应当根据本单位的生产经营特点，对安全生产状况进行经常性检查，检查及处理情况应当(        )。,,,记录在案,请示汇报,0,1,,344,,,2012,单选题,经领导认可,法律法规,C
用多层罐笼升降人员物料时，井上、井下各层出车平台都必须设有信号工。,,,,,0,,,1379,,,2012,判断题,,机电运输,y
《煤矿安全规程》第二百八十五条规定：探水孔的布置和超前距离，应根据水压大小、煤<岩>层厚度和硬度以及安全措施等，在(        )中作出具体规定。,,,防治水计划,探放水设计,0,,,230,,,2012,单选题,采掘工程平面图,地质安全,B
生产经营单位主要负责人有责任保证本单位安全生产投入的有效实施。,,,,,0,,,994,,,2012,判断题,,安全管理,y
倾斜长壁采煤工作面，当顶板淋水较大时，宜采用仰斜推进。,,,,,0,,,1181,,,2012,判断题,,开采安全,y
倾斜井巷串车提升时，阻车器一般设在上部车场入口处，平时应处在打开状态，往倾斜井巷内推车时方准关闭，以免误操作发生跑车事故。,,,,,0,,,1346,,,2012,判断题,,机电运输,n
《安全生产法》规定：生产经营单位应当在有较大危险因素的生产经营场所和有关设施、设备上，设置明显的(        )标志。 ,,,安全警示,提醒,0,,,2231,,,2016,单选题,指示,2016B500,C
在煤矿井下36V及以上电气设备必须设保护接地。,,,,,0,,,1431,,,2012,判断题,,机电运输,n
向井下输送混凝土时，混凝土强度等级大于C40或者输送深度大于400米时，可以采用溜灰管输送。,,,,,0,,,2524,,,2017,判断题,,2017B500,n
煤矿常用的防治煤炭自燃火灾措施有灌注泥浆、充填砂石或粉煤灰、均压、喷洒阻化剂、注入惰性气体等，(        )是应用最广的措施。,,,灌注泥浆,喷洒阻化剂,0,,,241,,,2012,单选题,充填砂石或粉煤灰,一通三防,C
倾斜井巷运输用的矿车连接装置，必须至少每年进行1次2倍于其最大静荷重的拉力试验。,,,,,0,3,,1385,,,2012,判断题,,机电运输,y
高瓦斯矿井、瓦斯矿井的高瓦斯区域，必须使用安全等级不低于(        )级的煤矿许用炸药。,,,四,三,0,,,259,,,2012,单选题,二,爆破安全,B
(        )是救活触电者的首要因素。,,,使触电者尽快脱离电源,送往医院,0,,,403,,,2012,单选题,请医生急救,应急管理,C
倾斜井巷内使用串车提升时，必须在倾斜井巷内安设能够将运行中断绳、脱钩的车辆阻止住的跑车防护装置。,,,,,0,,,1336,,,2012,判断题,,机电运输,y
《山西省煤矿现代化矿井标准》要求主要巷道应优先采用(        )支护方式。,,砌碹,挂网锚喷,锚喷,0,2,,2339,,"  ",2016,多选题,锚杆,2016B500,A，B，C
煤矿井下远距离爆破时，回风系统必须停电撤人。爆破后，进人工作面检查的时间应在措施中明确规定，但不得小于(        )min。,,,30,20,0,1,,88,,,2012,单选题,10,爆破安全,C
"按照《煤矿安全规程》要求,下列地点中的（）应单独装设局部接地极。",,采区变电所（包括移动变电站和移动变压器）,装有电气设备的硐室和单独装设的高压电气设备,连接高压动力电缆的金属连接装置,0,4,,2848,,,2017,多选题,每一台电压在36V以上的电气设备,2017B500,"B,C,D"
从事煤炭生产与煤矿建设的企业(以下统称煤矿企业)必须遵守国家有关安全生产的()、标准和技术规范。,,规程,规章,法规,1,3,,2775,,,2017,多选题,法委,2017B500,"A,B,C,D"
煤矿在取得安全生产许可张后，不的降低安全生产条件，并应当加强日常安全生产管理。,,,,,0,,,1572,,,2012,判断题,,法律法规,y
煤矿企业的管理人员违章指挥、强令职工冒险作业，发生重大伤亡事故的，依照刑法相关规定追究刑事责任。,,,,,0,,,1530,,,2012,判断题,,法律法规,y
正压氧气呼吸器的持续使用时间是4h。,,,,,0,,,2048,,,2016,判断题,,2016B500,y
主要通风机停止运转期间，必须立即停止工作、切断电源，工作人员先撤到进风巷道中，由值班矿领导迅速决定全矿井是否停止生产、工作人员是否全部撤出。（）,由值班矿领导组织全矿井工作人员全部撤出。,,,,0,,,2498,,,2017,判断题,,2017B500,n
柴油机和蓄电池单轨吊车，必须设置（）保护装置。,,,张紧力下降,越位,0,,,2674,,,2017,单选题,超速,2017B500,A
斜井施工时，由表土进入基岩采用钻爆法施工时，必须制定专项措施。,,,,,0,,,2525,,,2017,判断题,,2017B500,y
可以使用1台局部通风机同时向2个作业的掘进工作面供风。,,,,,0,,,1262,,,2012,判断题,,一通三防,n
依据《安全生产法》的规定.应当追究刑事责任的责任主体包括(        )。,,中介服务机构的有关人员,工会组织的工作人员,生产经营单位的主要负责人,0,,,2312,,生产经营单位的从业人员,2016,多选题,县级以上人民政府负有安全生产监督管理职责的部门的工作人员,2016B500,A，B，D，E
煤炭企业的安全管理，其目的是在于保证生产安全和煤矿职工的人身安全。,,,,,0,,,941,,,2012,判断题,,安全管理,y
在生产过程中，事故是指造成人员死亡、伤害、职业病、财产损失或其他损失的意外事件。,,,,,0,,,977,,,2012,判断题,,安全管理,y
处理冒顶事故时，首先应该加强后路支架的安全可靠性。,,,,,0,,,1468,,,2012,判断题,,应急管理,y
同一采区内、同一煤层上下相连的2个同一风路中的采煤工作面、采煤工作面与其相连接的掘进工作面、相邻的2个掘进工作面串联通风必须同时符合下列哪些规定(        )。,,串连通风的次数不得超过两次,。串联通风的次数不得超过1次,必须制定安全措施,0,1,,602,,,2012,多选题,布置独立通风有困难,一通三防,ABC
"煤矿企业应当落实应急管理主体责任,建立健全()应急投入、救援装备和物资储备、安全避险设施管理和使用等规章制度,",,现场处置,信息报告,应急值守,1,,,2791,,,2017,多选题,事故预警,2017B500,"A,B,C,D"
井工煤矿企业应当设立矿山救护队，不具备设立矿山救护队条件的煤矿企业，所属煤矿应只要设立兼职救护队，就可以生产。(),还必须签订救护协议,,,,0,,,2458,,,2017,判断题,,2017B500,n
发生煤与瓦斯突出事故后，撤出灾区和(        )的人员是抢险救灾的首要任务。,,,受威胁区,回风流,0,,,341,,,2012,单选题,进风流,应急管理,C
最佳的巷道支护是(        )。,,,允许巷道围岩有较大变形,不允许巷道围岩变形,0,,,507,,,2012,单选题,允许巷道围岩在一定范围内变形,开采安全,A
影响炸药稳定传播的因素是(        )。,,装药条件,装药直径,炸药保质期,0,,,904,,,2012,多选题,炸药质量,爆破安全,ABCD
井上下对照图主要用于(        ).,,解决供电线路敷设问题,解决矿井的防水、排水问题,解决在铁路、水体和建筑物下开采问题,0,2,,678,,,2012,多选题,规划地面建设和地下开采设计，确定由于井下开采所引起的地面移动范围,地质安全,ABC
井下高压电动机、动力变压器的高压控制设备，应具有短路、过负荷、接地和欠压释放保护。,,,,,0,,,2056,,,2016,判断题,,2016B500,y
《山西省煤矿瓦斯抽采全覆盖工程实施方案》[晋政办发[2015]69号]要求：要坚持瓦斯抽采利用与(        )相统筹的原则。,,清洁发展,绿色发展,经济效益,0,,,2330,,"  ",2016,多选题,安全发展,2016B500,A，C，D
《国务院关于预防煤矿生产安全事故的特别规定》规定：(        )对预防煤矿生产安全事故负主要责任。,,,煤炭行业主管部门,煤矿安全监察机构,1,,,376,,,2012,单选题,煤矿企业负责人(包括一些煤矿企业的实际控制人),法律法规,A
采空区顶板处理最常用的方法是(        )。,,,充填法,全部垮落法,0,,,315,,,2012,单选题,缓慢下沉法,开采安全,B
矿山企业职工(        )对危害安全的行为提出批评、检举和控告。,,,不得,有权,0,,,456,,,2012,单选题,无权,法律法规,B
当采高超过()m时，必须采取防片帮伤人措施。,,5,4.5,3.5,0,,,2612,,,2017,单选题,3,2017B500,C
《煤矿安全规程》第五十七条规定：回柱放顶时，必须指定(        )观察顶板。,,,回柱工,安全员,0,,,499,,,2012,单选题,有经验的人员,开采安全,A
架棚支护巷道应使用拉杆或撑木，炮掘工作面距迎头(        )内应采取加固措施。,,,20m,15m,0,,,2252,,,2016,单选题,10m,2016B500,A
把作业场所和工作岗位存在的危险因素如实告知从业人员，会有负面影响，引起恐慌，增加思想负担，不利于安全生产。,,,,,0,1,,1776,,,2016,判断题,,2016B500,n
《安全生产法》规定：国家对在(        )等方面取得显著成绩的单位和个人，给予奖励。,,改善职工待遇,参加抢险救护,防止生产安全事故,0,,,658,,,2012,多选题,改善安全生产条件,法律法规,ABC
《煤矿安全规程》第四十一条规定，靠近掘进工作面(        )m内的支护在爆破前必须加固。,,,20,15,0,,,81,,,2012,单选题,10,开采安全,A
井下架线电机车运行的轨道，两平行钢轨之间，每隔(        )m应连接1根断面不小于50mm的铜线或其他具有等效电阻的导线。,,,75,50,0,,,135,,,2012,单选题,25,机电运输,B
生产责任事故是指人们在生产建设中不执行有关安全法规并违反规章制度<包括领导人员违章指挥和职工违章作业>而发生的事故。,,,,,0,,,937,,,2012,判断题,,安全管理,y
企业不得转让、冒用安全生产许可证或者使用伪造的安全生产许可证。,,,,,0,,,1571,,,2012,判断题,,法律法规,y
为防止电机车架空线悬垂，架空线悬挂点的间距在直线段应在4m之内。,,,,,0,,,1369,,,2012,判断题,,机电运输,n
《山西省煤矿安全质量标准化》中掘进专业标准岗位规范有哪些要求？(        ),,作业前进行隐患排查，并实行闭合管理,管理和技术人员应掌握专业技术，作业人员应熟知本岗位作业规程和安全技术措施,操作规范，无违章指挥无违章作业无违反劳动纪律的行为,0,1,,2359,,,2016,多选题,进行岗位人员培训，其能力符合相应岗位要求,2016B500,A，B，C，D
在(        )中不应敷设电缆。,,专用进风巷,总进风巷,专用回风巷,0,2,,927,,,2012,多选题,总回风巷,机电运输,AB
《山西省煤矿安全质量标准化》中的掘进专业标准，对生产组织有哪些要求？(        ),,掘进工作面的生产运输系统合理简单,采掘关系合理,科学进行劳动组织,0,1,,2358,,,2016,多选题,按采煤工作面相对集中效能最大的生产布局进行组织，实行集约生产,2016B500,A，B，C，D
维修巷道，在撤除支架前，应当先加固作业地点的支架。架设和拆除支架时，在一架未完工前，不得中止作业。,,,,,0,,,2561,,,2017,判断题,,2017B500,y
掘进巷道贯通前，除综合机械化掘进以外的其他巷道在相距10m前，必须停止一个工作面作业，做好调整通风系统的准备工作。,,,,,0,,,1248,,,2012,判断题,,一通三防,n
矿灯应集中统一管理。每盏矿灯必须编号，经常使用矿灯的人员必须专人专灯。,,,,,0,,,1419,,,2012,判断题,,机电运输,y
"矿井安全避险设施属煤矿的安全设施,必须与矿井主体工程（）。",,,同时投入使用,同时施工,1,2,,2771,,,2017,多选题,同时设计,2017B500,"A,B,C"
粉尘颗粒越小，越容易被水润湿。,,,,,0,1,,1200,,,2012,判断题,,一通三防,n
煤矿发生生产安全事故，造成人员伤亡和他人财产损失的，应由矿长本人承担赔偿责任。,,,,,0,,,1543,,,2012,判断题,,法律法规,n
煤矿必须对紧急避险设施进行维护和管理，每周巡检1次；建立技术档案及使用维护记录。,（每天）,,,,0,,,2374,,,2017,判断题,,2017B500,n
炸药爆炸气体产物的瞬间温度可达1800℃～3000℃，超过了瓦斯、煤尘的发火温度。,,,,,0,2,,1317,,,2012,判断题,,爆破安全,y
"采煤工作面移动刮板输送机时,必须有（）的安全措施。",,防止输送机弯曲,损坏设备,顶伤人员,0,2,,2839,,,2017,多选题,防止冒顶,2017B500,"A,B,C"
采煤工作面单体液压支柱要全部编号管理，牌号清晰，不缺梁、少柱。,,,,,0,,,1112,,,2012,判断题,,开采安全,y
新建矿井可以使用钢丝绳牵引带式输送机。（）,不得使用,,,,0,,,2474,,,2017,判断题,,2017B500,n
采煤工作面刮板输送机必须安设能发出停止和启动信号的装置，发出信号点的间距不得超过（）m。,,,15,12,0,,,2694,,,2017,单选题,10,2017B500,C
开采突出煤层时，工作面回风侧可以设置调节风窗。,,,,,0,,,1254,,,2012,判断题,,一通三防,n
《山西省煤矿安全质量标准化》中通风专业要求通风系统符合以下哪些要求？(        ),,矿井内各地点风速符合《煤矿安全规程》的规定,按规定进行通风能力核定,采用机械通风，安装2套同等能力的主要通风机装置，实现双回路供电,1,1,,2349,,,2016,多选题,必须采用负压通风,2016B500,B，C，D
为了防止爆破材料散落、丢失、被盗，爆破作业人员领到爆破材料后，应(        )送到爆破作业地点，不得转给他人，禁止乱丢、乱放。,,,直接,可以停留一定时间,0,,,501,,,2012,单选题,有专人护送,爆破安全,C
空气压缩机必须使用闪点不低于(        )℃的压缩机油。,,,215,155,0,,,100,,,2012,单选题,105,机电运输,C
《安全生产法》规定，因生产安全事故受到损害的从业人员，除依法享有工伤保险外，依照有关民事法律尚有获得赔偿的权利的，有权向(        )提出赔偿要求。,,劳动和社会保障部门,工伤保险经办机构,安全生产监督管理部门,0,,,2111,,,2016,单选题,本单位,2016B500,A
煤矿企业作出涉及安全生产的经营决策，应当听取安全生产管理机构以及安全生产管理人员的意见。,,,,,0,1,,1733,,,2016,判断题,,2016B500,y
要求煤矿井下电气设备的完好率、小型电器的合格率、防爆电器的失爆率应是(        )。,,,95％95％0,90％90％0,0,,,193,,,2012,单选题,90％95％0,机电运输,C
煤矿必须配备满足工作需要的()技术人员。,,钻探?,物探?,注浆;,0,,,2619,,,2017,单选题,防治水专业;,2017B500,A
消除尘肺病，预防是根本，(        )是关键。,,,治疗救护,。综合防尘,0,,,290,,,2012,单选题,个体防护,职业防护,B
(        )和危险物品的生产、经营储存单位，应当设置安全生产管理机构或者配备专职安全生产管理人员。,,道路运输,建筑施工,金属冶炼,0,,,2306,,机械生产,2016,多选题,矿山,2016B500,A，B，C，D
巷道砌碹时，碹体与顶帮之间必须用不燃物充满填实；巷道冒顶空顶部分，可用支护材料接顶，但在碹拱上部必须充填不燃物垫层，其厚度不得少于0.3米。,,,,,0,,,2556,,,2017,判断题,,2017B500,n
下列选项中应进行抽放瓦斯的情况有(        )。,,矿井绝对瓦斯涌出量大于40m?,年产量08Mt的矿井绝对瓦斯涌出量大于25m?,开采有煤与瓦斯突出危险煤层,0,1,,662,,,2012,多选题,高瓦斯矿井,一通三防,BCD
立井提升，提升容器的罐耳在安装时与罐道之间所留的间隙，使用木罐道时每侧不得超过(        )mm。,,,10,8,0,,,179,,,2012,单选题,5,机电运输,C
每年雨季前必须对（）进行1次联合排水试验。,,,全部工作水泵和备用水泵,备用水泵,1,,,2689,,,2017,单选题,工作水泵,2017B500,C
煤矿企业、矿井的主要负责人是本单位防治水工作的第一责任人。主要负责人包含(        )。,,地测副总工程师,总工程师,实际控制人,1,2,,636,,,2012,多选题,法定代表人,地质安全,AB
安全管理和安全教育不仅强调对安全行为的激励，更要重视对人的不安全行为的控制；这样，才能使安全管理和教育的效果更为理想，使预防事故的境界更为提高。,,,,,0,,,986,,,2012,判断题,,安全管理,y
在启封火区工作完毕后2天内，每班必须由矿山救护队检查通风工作，并测定水温空气温度和空气成分。只有在确认火区完全熄灭、通风等情况良好后，方可进行生芦工作。,,,,,0,1,,1284,,,2012,判断题,,一通三防,n
检查电雷管的工作，必须在爆炸材料贮存硐室外设有安全设施的专用房间或硐室内进行。,,,,,0,,,1290,,,2012,判断题,,爆破安全,y
对安全生产教育和培训工作负主要责任的是煤矿企业的(        )。,,,教育培训部门负责人,人事劳资部门负责人,0,3,,538,,,2012,单选题,主要负责人(包括董事长、总经理、矿长),法律法规,A
对未取得安全生产许可证擅自进行生产的企业所设定的“责令停止生产”、“没收违法所得”和“处以罚款”这三种形式的行政处罚之间是(        )关系。,,,互换,替代,0,,,223,,,2012,单选题,并处,法律法规,A
井下用机车运送爆炸材料时，装有炸药和装有电雷管的车辆之间，必须用空车隔开，隔开长度不得小于(        )m。,,,4.5,3,0,,,109,,,2012,单选题,1.5,机电运输,B
下井带班的煤矿领导升井后，应当及时将(        )等有关情况进行登记，并由专人负责整理和存档备查。,,发现的问题及处理情况、意见,经过路线,地点,0,1,,868,,,2012,多选题,下井的时间,安全管理,ABCD
熟悉并掌握应急救援预案，是避免抢险救灾决策失误的重要方法。,,,,,0,,,1470,,,2012,判断题,,应急管理,y
《煤矿安全规程》第四十六条规定：斜井<巷>施工期间兼作行人道时，必须每隔(        )m设置躲避硐并设红灯。,,,60,50,1,,,163,,,2012,单选题,40,开采安全,A
因生产安全事故受到损害的从业人员，除依法享有工伤社会保险外，无权再向本单位提出赔偿要求。,,,,,0,,,935,,,2012,判断题,,安全管理,n
主要通风机停止运转时，受停风影响的地点，必须立即(        ).,,由值班矿长迅速决定全矿井是否停止生产、工作人员是否全部撤出,工作人员先撤到进风巷道中,切断电源,0,3,,838,,,2012,多选题,停止工作,一通三防,ABCD
在探放水钻进时，发现煤岩松软、来压或者钻眼中水压、水量突然增大和顶钻等透水征兆时，应当立即停止钻进，拔出钻杆。,,,,,0,1,,1063,,,2012,判断题,,地质安全,n
煤矿安全监察机构发现煤矿有(        )，应当责令限期改正。,,,未建立健全安全生产隐患排查、治理制度，未定期排查和报告重大隐患，逾期未改正的,分配职工上岗作业前，未进行安全教育、培训的,0,,,438,,,2012,单选题,停产整顿验收不合格的,法律法规,B
苏生器操纵阀门弹簧力太强可导致自动肺(        ). ,,,正压小负压大,正负压大,0,1,,2260,,,2016,单选题,正负压小,2016B500,B
在一个采煤工作面严禁使用2台发爆器同时进行爆破。,,,,,0,,,1298,,,2012,判断题,,爆破安全,y
煤矿企业应保证从业人员了解事故应急处理措施，知悉自身在安全生产方面的权利和义务。,,,,,1,1,,1767,,,2016,判断题,,2016B500,y
《国务院办公厅关于进一步加强煤矿安全生产工作的意见》[国办发〔2013〕99号]要求加快煤矿应急救援能力建设。煤矿企业按照相关规定建立专职应急救援队伍。没有建立专职救援队伍的，必须建设兼职辅助救护队。每(        )至少组织一次全员应急演练。,,,年,半年,0,2,,2179,,,2016,单选题,季度,2016B500,C
生产经营单位可以短期将生产经营项目、场所、设备发包或者出租给不具备安全生产条件或者相应资质的单位或者个人。,,,,,1,,,1709,,,2016,判断题,,2016B500,n
事故隐患是指作业场所、设备或设施的不安全状态，人的不安全行为和管理上的缺陷。,,,,,0,,,1001,,,2012,判断题,,安全管理,y
采区内采区车场按地点分为(        )。,,装车站车场,下部车场,中部车场,1,,,800,,,2012,多选题,上部车场,开采安全,ABC
将伤员转运时，应让伤员的头部在(        )，便于救护人员时刻注意伤员的面色、呼吸、脉搏，必要时要及时抢救。,,,前面、后面无所谓,后面,0,,,398,,,2012,单选题,前面,应急管理,B
“四不放过”原则是指发生事故后，要做到(        ),,整改措施未落实不放过,群众未受到教育不放过,当事人未受到处理不放过,0,,,820,,,2012,多选题,事故原因没查清不放过,安全管理,ABCD
安全文化是人类在生产、生活、生存活动中，为保护身心安全与健康所创造的有关(        )的总和。,,,规章制度和法律法规,安全知识和文化知识,0,,,458,,,2012,单选题,物质财富和精神财富,安全管理,A
主要通风机房内必须安装(        )等仪表。,,轴承温度计,电压表,电流表,0,2,,830,,,2012,多选题,水柱计,一通三防,ABCD
发火期为8个月的煤层是重大危险源。,,,,,0,,,1471,,,2012,判断题,,应急管理,n
根据《安全生产法》的规定，生产经营单位应当告知从业人员的事项包括(        )。,,安全防范措施,事故应急措施,生产经营计划,1,,,2275,,环境保护政策,2016,多选题,作业场所和工作岗位危险因素,2016B500,A，C，D
防火墙的封闭顺序，首先应封闭所有其他防火墙，留下(        )主要防火墙最后封闭。,,,进回风,回风,0,1,,340,,,2012,单选题,进风,一通三防,C
进风井口已布置在粉尘、有害和高温气体能侵入地点的，不必在制定安全措施。,,,,,0,,,1251,,,2012,判断题,,一通三防,n
煤矿企业、矿井的(        )具体负责防治水的技术管理工作。,,,负责人,总工程师,0,1,,537,,,2012,单选题,主要负责人,地质安全,A
突出矿井及突出煤层的鉴定，由煤矿企业委托()进行。煤矿企业应当将鉴定结果报省级煤炭行业管理部门审批，并报省级煤矿安全监察机构备案。,,上一级行政主管部门,高等院校科研机构,具有乙级以上资质的煤矿设计院,0,,,2753,,,2017,单选题,具有煤与瓦斯突出危险性鉴定资质的单位,2017B500,A
《生产安全事故报告和调查处理条例》规定：事故发生单位及其相关人员伪造或者故意破坏事故现场的，对主要负责人、直接负责的主管人员和其他责任人员处上一年年收入60%~100%的罚款；属于国家人员的并依法给与处分；构成违反违反治安管理行为的，由公安机关依法给与治安管理处罚；构成犯罪的，依法追究刑事责任,,,,,0,,,1547,,,2012,判断题,,法律法规,n
"“四不放过”原则是指发生事故后,要做到()",,整改措施未落实不放过,群众未受到教育不放过,当事人未受到处理不放过,0,,,2790,,,2017,多选题,事故原因没查清不放过,2017B500,"A,B,C,D"
根据《煤矿重大安全生产隐患认定办法<试行>》之规定，煤矿完成改制后，为重新取得或者变更采矿合格证、安全生产许可证、煤炭生产许可证、营业执照以及矿长资格证、矿长安全资格证进行生产的，属于煤矿重大安全生产隐患。,,,,,0,,,1650,,,2012,判断题,,法律法规,y
井下低压馈电线上，必须装设检漏保护装置或有选择性的漏电保护装置，保证自动切断漏电的馈电线路。,,,,,0,,,1410,,,2012,判断题,,机电运输,y
电雷管必须由爆破工亲自运送，炸药应由爆破工或在爆破工监护下由其他人员运送。,,,,,0,,,1309,,,2012,判断题,,爆破安全,y
采掘工作面配电点的位置和空间必须能满足(        )的要求，并用不燃性材料支护。,,其他设备安装,矿车通过,巷道运输,0,,,804,,,2012,多选题,设备检修,机电运输,ABCD
以下选项中，属于防触电措施的有(        )。,,电气设备采用闭锁机构,采用较低的电压等级供电,装设保护接地,0,1,,809,,,2012,多选题,设置漏电保护,机电运输,ABCD
煤与瓦斯突出前，煤层结构和构造方面预兆有(        ),,波状隆起,煤厚增大,煤强度松软,0,,,775,,,2012,多选题,煤体干燥、光泽暗淡,一通三防,ABCD
矿井应当根据需要在避灾路线上设置自救器补给站。补给站应当有清晰、醒目的标识。,,,,,0,,,2369,,,2017,判断题,,2017B500,y
按冒顶范围的不同可将煤层顶板事故分为(        )。,,漏冒型冒顶,压垮型冒顶,大型冒顶,1,1,,726,,,2012,多选题,局部冒顶,开采安全,AB
无轨胶轮车运送人员时，速度不得超过（）,,,30km/h,25km/h,1,,,2662,,,2017,单选题,20km/h,2017B500,B
(        )和危险物品的生产、经营、储存单位，应当设置安全生产管理机构或者配备专职安全生产管理人员。,,道路运输单位,建筑施工,金属冶炼,1,1,,2265,,"  ",2016,多选题,矿山,2016B500,A，B，C，D
从业人员有依法获得劳动安全生产保障权利，同时应履行劳动安全生产方面的(        )。,,,权利,权力,1,,,492,,,2012,单选题,义务,法律法规,A
14l根据《煤矿隐患排查和整顿关闭实施办法<试行>》之规定，停产整顿期间，煤矿要组织职工进行安全教育和培训。,,,,,0,,,1660,,,2012,判断题,,法律法规,y
国家对严重危及生产安全的工艺、设备实行(        )。,,监控制度,淘汰制度,考评制度,0,,,2099,,,2016,单选题,审核制度,2016B500,C
在保证稀释后风流中的瓦斯浓度不超限的前提下，抽出的瓦斯可排到(        ),,分区回风巷,一翼回风巷,总回风巷,0,7,,625,,,2012,多选题,地面,一通三防,ABCD
永久硐室可以布置在弱冲击地压煤层中。,,,,,0,,,1178,,,2012,判断题,,开采安全,n
在断层两侧需留安全煤柱，其原因是因为(        ),,断层带附近容易自燃,断层带附近容易冒顶,断层带附近易积聚瓦斯,0,,,631,,,2012,多选题,断层容易沟通水系,地质安全,ABC
